Profit & Loss account of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,
Total Appropriations,"-42,956.91","-44,226.70","-45,400.26","-32,280.30","-16,730.31",,"-7,985.42","-2,752.61","1,770.16","2,025.26","2,554.73",
OTHER INFORMATION,,,,,,,,,,,,
EARNINGS PER SHARE,,,,,,,,,,,,
Basic EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
Diluted EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
DIVIDEND PERCENTAGE,,,,,,,,,,,,
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,,0.00,0.00,8.00,10.00,35.00,
Balance Sheet of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,
EQUITIES AND LIABILITIES,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,
Equity Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",,"2,058.82","2,058.82","1,603.96","1,603.94","1,332.75",
Total Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",,"2,058.82","2,058.82","1,603.96","1,603.94","1,332.75",
Revaluation Reserve,"8,467.76","6,281.45","6,503.37","6,727.69","5,053.88",,"5,417.75","5,607.83","1,662.85","1,712.84","1,762.78",
Reserves and Surplus,"22,441.82","19,777.22","17,140.41","23,147.71","13,071.98",,"15,087.09","20,055.15","21,050.11","20,322.08","18,139.73",
Total Reserves and Surplus,"30,909.58","26,058.67","23,643.77","29,875.40","18,125.87",,"20,504.83","25,662.97","22,712.96","22,034.92","19,902.51",
Total ShareHolders Funds,"41,661.98","36,811.07","34,024.37","37,611.70","21,209.73",,"22,563.65","27,721.79","24,317.10","23,639.30","21,236.02",
Deposits,"233,134.42","230,898.41","222,424.13","227,371.72","247,931.61",,"268,538.10","265,719.83","259,835.97","235,773.63","227,116.47",
Borrowings,"14,344.98","15,908.05","36,748.86","45,287.72","63,185.53",,"56,363.98","69,573.94","61,832.98","60,146.29","65,808.87",
Other Liabilities and Provisions,"12,277.98","14,146.55","6,745.02","10,013.35","17,986.77",,"14,302.18","11,356.57","10,044.51","9,437.40","8,607.14",
Total Capital and Liabilities,"301,419.36","297,764.08","299,942.37","320,284.49","350,313.64",,"361,767.90","374,372.13","356,030.57","328,996.63","322,768.51",
ASSETS,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,"13,593.37","13,012.80","10,538.83","12,730.47","13,163.69",,"13,346.92","13,822.91","13,035.77","12,711.11","10,543.95",
Balances with Banks Money at Call and Short Notice,"13,117.22","22,209.39","19,891.57","8,503.23","20,522.40",,"19,337.16","2,757.63","1,489.99","4,106.80","7,380.57",
Investments,"82,988.21","81,022.56","81,780.42","93,072.63","91,606.06",,"92,934.41","98,999.43","120,963.21","103,773.50","98,800.93",
Advances,"145,771.84","128,149.94","129,841.79","146,790.44","171,739.95",,"190,825.93","215,893.45","208,376.87","197,686.00","196,306.45",
Fixed Assets,"9,936.91","7,827.42","8,129.18","8,230.99","6,770.98",,"7,348.78","7,447.32","3,060.50","2,983.21","2,925.29",
Other Assets,"36,011.82","45,541.97","49,760.58","50,956.74","46,510.56",,"37,974.70","35,451.39","9,104.24","7,736.01","6,811.32",
Total Assets,"301,419.36","297,764.08","299,942.37","320,284.49","350,313.64",,"361,767.90","374,372.13","356,030.57","328,996.63","322,768.51",
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,
Number of Branches,"1,886.00","1,884.00","1,892.00","1,892.00","1,916.00",,"1,896.00","1,846.00","1,717.00","1,388.00","1,076.00",
Number of Employees,"17,430.00","17,319.00","17,723.00","17,117.00","17,475.00",,"18,187.00","17,570.00","16,555.00","16,438.00","15,465.00",
Capital Adequacy Ratios (%),19.06,15.59,13.31,11.58,10.41,,10.70,11.67,11.76,11.68,13.13,
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,
Tier 1 (%),16.68,13.06,10.57,9.13,7.73,,7.81,8.89,8.18,7.79,7.68,
Tier 2 (%),2.38,2.53,2.74,2.45,2.68,,2.89,2.78,3.58,3.89,5.45,
ASSETS QUALITY,,,,,,,,,,,,
Gross NPA,"34,115.00","36,211.95","47,272.37","50,027.94","55,588.25",,"44,752.59","24,875.07","12,684.97","9,960.16","6,449.98",
Gross NPA (%),19.00,22.00,28.00,27.00,28.00,,21.00,11.00,6.00,5.00,3.00,
Net NPA,"1,856.00","2,519.38","5,439.49","14,837.44","28,665.14",,"25,205.80","14,643.39","5,992.52","4,902.30","3,100.36",
Net NPA (%),1.27,1.97,4.19,10.11,16.69,,13.21,6.78,2.88,2.48,1.58,
Net NPA To Advances (%),1.00,2.00,4.00,10.00,17.00,,13.00,7.00,3.00,2.00,2.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,
Bills for Collection,"10,706.96","9,648.34","9,870.73","9,634.77","9,300.58",,"15,948.82","41,008.74","43,283.00","35,650.95","33,184.86",
Contingent Liabilities,"332,181.08","220,709.69","117,113.22","140,854.29",0.00,,0.00,"212,856.92","246,073.24","196,540.68","187,819.01",
Yearly Results of IDBI Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,,Mar '17,Mar '16,Mar '15,Mar '14,Mar '13,
Interest Earned,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,"12,031.98","11,821.17","13,101.51","14,380.90","15,693.55",,"19,310.33","20,709.12","20,829.77","20,257.32","19,549.29",
(b) Income on Investment,"4,629.01","5,160.62","5,780.64","6,443.22","5,899.23",,"6,574.71","5,945.24","7,209.80","6,074.72","5,335.15",
(c) Int. on balances With RBI,669.96,644.32,453.55,189.36,232.84,,456.85,92.71,69.35,103.34,156.12,
(d) Others,964.34,"2,305.65","1,489.44","1,057.75","1,200.91",,"1,449.48","1,295.69",45.07,162.13,23.74,
Other Income,"4,689.90","4,625.18","4,470.33","3,300.30","7,008.88",,"3,967.60","3,410.70","4,007.63","2,978.76","3,219.51",
EXPENDITURE,,,,,,,,,,,,
Interest Expended,"9,132.80","11,414.21","13,847.30","16,165.62","17,386.21",,"22,039.71","21,953.81","22,406.10","20,576.04","19,691.19",
Employees Cost,"3,106.51","3,090.25","3,245.49","2,202.85","1,794.58",,"2,225.23","1,703.37","1,966.26","1,524.73","1,569.28",
Other Expenses,"3,250.72","2,961.69","3,090.67","2,950.94","2,950.10",,"2,915.58","2,426.21","2,061.16","1,794.11","1,565.08",
Depreciation,413.28,392.93,390.68,366.44,372.73,,--,--,--,--,--,
Provisions And Contingencies,"3,886.54","4,722.16","14,079.45","26,879.29","20,497.05",,"13,196.47","10,340.82","4,440.77","3,940.26","2,836.48",
Exceptional Items,--,--,--,--,--,,--,--,--,--,--,
P/L Before Tax,"3,608.62","2,368.62","-8,967.44","-22,827.17","-12,592.53",,"-8,618.02","-4,970.75","1,287.33","1,741.13","2,621.78",
Tax,"1,169.35","1,009.16","3,919.90","-7,710.87","-4,354.61",,"-3,459.88","-1,305.95",413.94,619.73,739.70,
P/L After Tax from Ordinary Activities,"2,439.27","1,359.46","-12,887.34","-15,116.30","-8,237.92",,"-5,158.14","-3,664.80",873.39,"1,121.40","1,882.08",
Prior Year Adjustments,--,--,--,--,--,,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,,--,--,--,--,--,
Net Profit/(Loss) For the Period,"2,439.27","1,359.46","-12,887.34","-15,116.30","-8,237.92",,"-5,158.14","-3,664.80",873.39,"1,121.40","1,882.08",
Equity Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",,"2,058.82","2,058.82","1,603.96","1,603.94","1,332.75",
Reserves Excluding Revaluation Reserves,"22,441.82","19,777.22","17,140.41","23,147.71","13,071.98",,"15,087.09","20,055.15","21,050.11","20,293.07","18,110.71",
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,,--,--,7.50,10.00,35.00,
ANALYTICAL RATIOS,,,,,,,,,,,,
a) % of Share by Govt.,45.48,45.48,47.11,46.46,80.96,,73.98,73.98,76.50,76.50,71.72,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,,--,--,--,13.13,13.13,
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
Diluted EPS,2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
EPS After Extra Ordinary,,,,,,,,,,,,
Basic EPS.,2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
Diluted EPS.,2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
NPA Ratios :,,,,,,,,,,,,
i) Gross NPA,"34,114.83","36,211.95","47,272.37","50,027.94","55,588.26",,"44,752.59","24,875.07","12,684.97","9,960.16","6,449.98",
ii) Net NPA,"1,856.16","2,519.38","5,439.49","14,837.44","28,665.14",,"25,205.80","14,643.39","5,992.52","4,902.30","3,100.36",
i) % of Gross NPA,19.14,22.37,27.53,27.47,27.95,,21.25,10.98,5.88,4.90,3.22,
ii) % of Net NPA,1.27,1.97,4.19,10.11,16.69,,13.21,6.78,2.88,2.48,1.58,
Return on Assets %,0.84,0.70,-4.26,-4.68,-2.46,,-1.38,-1.07,0.27,0.38,0.69,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,,--,--,37.69,37.69,37.69,
Share Holding (%),--,--,--,--,--,,--,--,23.50,23.50,28.28,
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,--,--,--,--,--,
b) Non-encumbered,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,,--,--,122.70,122.70,95.59,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,--,--,100.00,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,--,--,76.50,76.50,71.72,
Key Financial Ratios of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,
Per Share Ratios,,,,,,,,,,,,
Basic EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
Diluted EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,,-25.05,-21.77,5.45,8.00,14.70,
Cash EPS (Rs.),2.65,1.63,-12.04,-19.07,-25.50,,-23.31,-16.76,6.30,7.70,15.05,
Book Value [Excl. Reval Reserve]/Share (Rs.),30.87,28.39,26.51,39.92,52.39,,83.28,107.41,141.24,136.70,146.11,
Book Value [Incl. Reval Reserve]/Share (Rs.),38.75,34.24,32.78,48.62,68.78,,109.60,134.65,151.61,147.38,159.34,
Dividend/Share (Rs.),0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.75,1.00,3.50,
Operating Revenue / Share (Rs.),17.02,18.54,20.06,28.53,74.67,,134.99,136.21,175.53,165.83,188.06,
Net Profit/Share (Rs.),2.27,1.26,-12.41,-19.54,-26.71,,-25.05,-17.80,5.45,6.99,14.12,
Per Employee Ratios,,,,,,,,,,,,
Interest Income/ Employee (Rs.),"10,496,440.39","11,508,608.00","11,750,349.55","12,894,337.15","13,176,842.63",,"15,280,896.96","15,960,786.28","17,006,337.66","16,180,504.75","16,207,113.09",
Net Profit/ Employee (Rs.),"1,399,466.72","784,955.31","-7,271,529.14","-8,831,158.50","-4,714,117.08",,"-2,836,168.47","-2,085,829.54","527,567.74","682,201.42","1,216,995.60",
Business/ Employee (Rs.),"217,387,408.55","207,314,711.59","198,762,011.96","218,590,969.56","240,155,396.97",,"252,578,227.86","274,111,144.11","282,822,615.77","263,693,658.66","273,794,324.22",
Per Branch Ratios,,,,,,,,,,,,
Interest Income/ Branch (Rs.),"97,005,809.12","105,794,894.90","110,069,474.10","116,655,586.15","120,180,232.25",,"146,578,941.46","151,912,792.52","163,971,997.67","191,624,738.47","232,939,594.80",
Net Profit/ Branches (Rs.),"12,933,565.75","7,215,839.17","-68,114,857.82","-79,895,845.67","-42,995,405.01",,"-27,205,377.64","-19,852,667.93","5,086,711.71","8,079,270.17","17,491,484.20",
Business/ Branches (Rs.),"2,009,046,941.15","1,905,776,799.36","1,861,870,580.34","1,977,601,282.24","2,190,352,589.77",,"2,422,806,028.48","2,608,956,014.08","2,726,923,939.43","3,122,908,041.07","3,935,157,271.38",
Key Performance Ratios,,,,,,,,,,,,
ROCE (%),2.59,2.50,1.74,1.30,2.37,,1.31,1.47,1.65,1.77,1.73,
CASA (%),56.77,50.45,47.74,42.54,37.14,,31.45,25.96,25.06,22.62,25.11,
Net Profit Margin (%),13.33,6.82,-61.88,-68.48,-35.77,,-18.56,-13.06,3.10,4.21,7.50,
Operating Profit Margin (%),-12.30,-16.38,-83.34,-83.44,-66.21,,-32.83,-25.22,-11.13,-6.98,-5.33,
Return on Assets (%),0.80,0.45,-4.29,-4.71,-2.35,,-1.42,-0.97,0.24,0.34,0.58,
Return on Equity / Networth (%),7.34,4.45,-46.82,-48.94,-50.99,,-30.08,-16.57,3.85,5.11,9.66,
Net Interest Margin (X),3.03,2.86,2.32,1.84,1.61,,1.58,1.62,1.61,1.83,1.66,
Cost to Income (%),49.65,47.98,96.20,95.86,69.54,,46.84,41.85,27.61,26.63,23.72,
Interest Income/Total Assets (%),6.06,6.69,6.94,6.89,6.57,,7.68,7.49,7.90,8.08,7.76,
Non-Interest Income/Total Assets (%),1.55,1.55,1.49,1.03,2.00,,1.09,0.91,1.12,0.90,0.99,
Operating Profit/Total Assets (%),-0.74,-1.09,-5.78,-5.75,-4.35,,-2.52,-1.88,-0.88,-0.56,-0.41,
Operating Expenses/Total Assets (%),2.10,2.03,2.11,1.60,1.35,,1.42,1.10,1.13,1.00,0.97,
Interest Expenses/Total Assets (%),3.02,3.83,4.61,5.04,4.96,,6.09,5.86,6.29,6.25,6.10,
Valuation Ratios,,,,,,,,,,,,
Enterprise Value (Rs. Cr),"279,906.31","275,244.17","268,668.69","296,018.80","320,234.36",,"327,016.86","335,779.63","320,029.30","293,706.59","293,076.70",
EV Per Net Sales (X),15.30,13.81,12.90,13.41,13.91,,11.77,11.97,11.37,11.04,11.69,
Price To Book Value (X),1.39,1.36,0.73,1.17,1.38,,0.90,0.65,0.50,0.48,0.55,
Price To Sales (X),2.52,2.08,0.96,1.64,0.97,,0.56,0.51,0.40,0.39,0.43,
Retention Ratios (%),100.00,100.00,100.00,100.00,100.00,,100.00,100.00,86.22,85.69,75.21,
Earnings Yield (X),0.05,0.03,-0.64,-0.42,-0.37,,-0.33,-0.26,0.08,0.11,0.18,
