Profit & Loss account of Punjab National Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Other Expenses,"8,411.58","8,133.01","5,011.69","4,575.32","4,340.27",
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,"20,761.82","22,980.08","14,738.55","12,995.24","10,294.20",
Provisions And Contingencies,"16,445.42","19,500.68","13,999.56","28,341.01","29,869.28",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,"4,316.40","3,479.40",738.99,"-15,345.77","-19,575.08",
Tax,859.44,"1,457.78",402.79,"-5,370.28","-7,292.26",
P/L After Tax from Ordinary Activities,"3,456.96","2,021.62",336.20,"-9,975.49","-12,282.82",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,"3,456.96","2,021.62",336.20,"-9,975.49","-12,282.82",
Equity Share Capital,"2,202.20","2,095.54","1,347.51",920.81,552.11,
Reserves Excluding Revaluation Reserves,"86,236.07","81,641.36","56,251.28","40,284.09","36,838.37",
Equity Dividend Rate (%),32.00,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,73.15,76.87,83.19,75.41,62.25,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,3.16,2.08,0.62,-30.94,-55.39,
Diluted EPS,3.16,2.08,0.62,-30.94,-55.39,
EPS After Extra Ordinary,,,,,,
Basic EPS.,3.16,2.08,0.62,-30.94,-55.39,
Diluted EPS.,3.16,2.08,0.62,-30.94,-55.39,
NPA Ratios :,,,,,,
i) Gross NPA,"92,448.04","104,423.42","73,478.76","78,472.70","86,620.05",
ii) Net NPA,"34,908.73","38,575.70","27,218.89","30,037.66","48,684.29",
i) % of Gross NPA,11.78,14.12,14.21,15.50,18.38,
ii) % of Net NPA,4.80,5.73,5.78,6.56,11.24,
Return on Assets %,0.26,0.15,0.04,-1.25,-1.60,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
Key Financial Ratios of Punjab National Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Per Share Ratios,,,,,,
Basic EPS (Rs.),3.16,2.08,0.62,-30.94,-55.39,
Diluted EPS (Rs.),3.16,2.08,0.62,-30.94,-55.39,
Cash EPS (Rs.),3.95,2.86,1.40,-20.41,-42.41,
Book Value [Excl. Reval Reserve]/Share (Rs.),80.32,79.92,85.49,89.50,135.44,
Book Value [Incl. Reval Reserve]/Share (Rs.),86.72,86.79,92.55,97.28,148.79,
Dividend/Share (Rs.),0.64,0.00,0.00,0.00,0.00,
Operating Revenue / Share (Rs.),68.00,77.07,79.85,111.45,173.86,
Net Profit/Share (Rs.),3.14,1.93,0.50,-21.67,-44.49,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),"7,259,708.46","7,932,041.28","7,821,932.47","7,246,186.98","6,408,236.15",
Net Profit/ Employee (Rs.),"335,158.96","198,583.40","48,878.96","-1,408,768.54","-1,639,961.57",
Business/ Employee (Rs.),"181,726,918.18","174,904,476.63","170,930,059.65","160,186,321.72","143,658,746.44",
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),"74,152,839.08","74,983,532.92","76,420,502.41","73,415,724.71","68,732,301.73",
Net Profit/ Branches (Rs.),"3,423,414.14","1,877,257.59","477,548.86","-14,273,129.20","-17,589,603.61",
Business/ Branches (Rs.),"1,856,213,235.20","1,653,414,943.82","1,669,991,538.78","1,622,949,412.08","1,540,829,032.22",
Key Performance Ratios,,,,,,
ROCE (%),1.61,1.85,1.80,1.70,1.38,
CASA (%),46.55,44.54,42.97,42.16,40.98,
Net Profit Margin (%),4.61,2.50,0.62,-19.44,-25.59,
Operating Profit Margin (%),-11.83,-13.36,-16.61,-33.81,-44.09,
Return on Assets (%),0.26,0.16,0.04,-1.28,-1.60,
Return on Equity / Networth (%),3.90,2.41,0.58,-24.20,-32.85,
Net Interest Margin (X),2.18,2.41,2.09,2.21,1.94,
Cost to Income (%),43.07,44.10,41.81,58.80,63.44,
Interest Income/Total Assets (%),5.69,6.40,6.47,6.62,6.26,
Non-Interest Income/Total Assets (%),0.93,1.01,1.11,0.95,1.15,
Operating Profit/Total Assets (%),-0.67,-0.85,-1.07,-2.23,-2.76,
Operating Expenses/Total Assets (%),1.54,1.61,1.44,1.48,1.76,
Interest Expenses/Total Assets (%),3.51,3.98,4.37,4.40,4.31,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),"1,173,857.35","1,143,614.66","737,469.93","727,149.56","700,637.58",
EV Per Net Sales (X),15.68,14.16,13.71,14.17,14.60,
Price To Book Value (X),0.44,0.46,0.38,1.07,0.70,
Price To Sales (X),0.52,0.48,0.41,0.86,0.55,
Retention Ratios (%),79.61,100.00,100.00,100.00,100.00,
Earnings Yield (X),0.09,0.05,0.02,-0.23,-0.47,
Balance Sheet of Punjab National Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,"2,202.20","2,095.54","1,347.51",920.81,552.11,
Total Share Capital,"2,202.20","2,095.54","1,347.51",920.81,552.11,
Revaluation Reserve,"7,048.62","7,200.41","4,758.69","3,582.23","3,683.82",
Reserves and Surplus,"86,236.07","81,641.36","56,251.28","40,284.09","36,838.37",
Total Reserves and Surplus,"93,284.69","88,841.77","61,009.97","43,866.32","40,522.19",
Total ShareHolders Funds,"95,486.90","90,937.31","62,357.49","44,787.13","41,074.31",
Deposits,"1,146,218.45","1,106,332.47","703,846.32","676,030.14","642,226.19",
Borrowings,"45,681.41","42,840.31","50,225.43","39,325.91","60,850.75",
Other Liabilities and Provisions,"27,418.27","20,522.52","14,236.68","14,806.28","21,678.86",
Total Capital and Liabilities,"1,314,805.02","1,260,632.62","830,665.91","774,949.46","765,830.10",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"56,636.12","43,958.83","38,397.85","32,129.13","28,789.03",
Balances with Banks Money at Call and Short Notice,"76,010.66","67,390.88","37,595.18","43,158.91","66,672.97",
Investments,"372,167.76","392,983.25","240,465.64","202,128.22","200,305.98",
Advances,"728,185.68","674,230.08","471,827.72","458,249.20","433,734.72",
Fixed Assets,"10,673.61","11,020.90","7,239.07","6,224.85","6,349.33",
Other Assets,"71,131.20","71,048.68","35,140.45","33,059.15","29,978.07",
Total Assets,"1,314,805.02","1,260,632.62","830,665.91","774,949.46","765,830.10",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"10,098.00","10,769.00","7,040.00","6,989.00","6,983.00",
Number of Employees,"103,144.00","101,802.00","68,781.00","70,810.00","74,897.00",
Capital Adequacy Ratios (%),14.50,14.32,14.14,9.73,9.20,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),11.73,11.49,11.91,7.49,7.12,
Tier 2 (%),2.77,2.83,2.24,2.24,2.08,
ASSETS QUALITY,,,,,,
Gross NPA,"92,448.04","104,423.42","73,478.76","78,472.70","86,620.05",
Gross NPA (%),12.00,14.00,14.00,16.00,18.00,
Net NPA,"34,908.73","38,575.70","27,218.90","30,037.66","48,684.29",
Net NPA (%),4.80,5.73,5.78,6.56,11.24,
Net NPA To Advances (%),5.00,6.00,6.00,7.00,11.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"37,786.05","40,491.16","28,049.91","27,335.90","27,858.61",
Contingent Liabilities,"605,180.05","383,279.78","210,800.74","305,400.13",0.00,
