Profit & Loss account of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Employees Cost,"3,106.51","3,090.25","3,245.49","2,202.85","1,794.58",
Other Expenses,"3,250.72","2,961.69","3,090.67","2,950.94","2,950.10",
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,"7,495.16","7,090.78","5,112.01","4,052.12","7,904.52",
Provisions And Contingencies,"3,886.54","4,722.16","14,079.45","26,879.29","20,497.05",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,"3,608.62","2,368.62","-8,967.44","-22,827.17","-12,592.53",
Tax,"1,169.35","1,009.16","3,919.90","-7,710.87","-4,354.61",
P/L After Tax from Ordinary Activities,"2,439.27","1,359.46","-12,887.34","-15,116.30","-8,237.92",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,"2,439.27","1,359.46","-12,887.34","-15,116.30","-8,237.92",
Equity Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",
Reserves Excluding Revaluation Reserves,"22,441.82","19,777.22","17,140.41","23,147.71","13,071.98",
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,45.48,45.48,47.11,46.46,80.96,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,2.27,1.30,-14.48,-30.48,-34.45,
Diluted EPS,2.27,1.30,-14.48,-30.48,-34.45,
EPS After Extra Ordinary,,,,,,
Basic EPS.,2.27,1.30,-14.48,-30.48,-34.45,
Diluted EPS.,2.27,1.30,-14.48,-30.48,-34.45,
NPA Ratios :,,,,,,
i) Gross NPA,"34,114.83","36,211.95","47,272.37","50,027.94","55,588.26",
ii) Net NPA,"1,856.16","2,519.38","5,439.49","14,837.44","28,665.14",
i) % of Gross NPA,19.14,22.37,27.53,27.47,27.95,
ii) % of Net NPA,1.27,1.97,4.19,10.11,16.69,
Return on Assets %,0.84,0.70,-4.26,-4.68,-2.46,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
Key Financial Ratios of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Per Share Ratios,,,,,,
Basic EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,
Diluted EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,
Cash EPS (Rs.),2.65,1.63,-12.04,-19.07,-25.50,
Book Value [Excl. Reval Reserve]/Share (Rs.),30.87,28.39,26.51,39.92,52.39,
Book Value [Incl. Reval Reserve]/Share (Rs.),38.75,34.24,32.78,48.62,68.78,
Dividend/Share (Rs.),0.00,0.00,0.00,0.00,0.00,
Operating Revenue / Share (Rs.),17.02,18.54,20.06,28.53,74.67,
Net Profit/Share (Rs.),2.27,1.26,-12.41,-19.54,-26.71,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),"10,496,440.39","11,508,608.00","11,750,349.55","12,894,337.15","13,176,842.63",
Net Profit/ Employee (Rs.),"1,399,466.72","784,955.31","-7,271,529.14","-8,831,158.50","-4,714,117.08",
Business/ Employee (Rs.),"217,387,408.55","207,314,711.59","198,762,011.96","218,590,969.56","240,155,396.97",
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),"97,005,809.12","105,794,894.90","110,069,474.10","116,655,586.15","120,180,232.25",
Net Profit/ Branches (Rs.),"12,933,565.75","7,215,839.17","-68,114,857.82","-79,895,845.67","-42,995,405.01",
Business/ Branches (Rs.),"2,009,046,941.15","1,905,776,799.36","1,861,870,580.34","1,977,601,282.24","2,190,352,589.77",
Key Performance Ratios,,,,,,
ROCE (%),2.59,2.50,1.74,1.30,2.37,
CASA (%),56.77,50.45,47.74,42.54,37.14,
Net Profit Margin (%),13.33,6.82,-61.88,-68.48,-35.77,
Operating Profit Margin (%),-12.30,-16.38,-83.34,-83.44,-66.21,
Return on Assets (%),0.80,0.45,-4.29,-4.71,-2.35,
Return on Equity / Networth (%),7.34,4.45,-46.82,-48.94,-50.99,
Net Interest Margin (X),3.03,2.86,2.32,1.84,1.61,
Cost to Income (%),49.65,47.98,96.20,95.86,69.54,
Interest Income/Total Assets (%),6.06,6.69,6.94,6.89,6.57,
Non-Interest Income/Total Assets (%),1.55,1.55,1.49,1.03,2.00,
Operating Profit/Total Assets (%),-0.74,-1.09,-5.78,-5.75,-4.35,
Operating Expenses/Total Assets (%),2.10,2.03,2.11,1.60,1.35,
Interest Expenses/Total Assets (%),3.02,3.83,4.61,5.04,4.96,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),"279,906.31","275,244.17","268,668.69","296,018.80","320,234.36",
EV Per Net Sales (X),15.30,13.81,12.90,13.41,13.91,
Price To Book Value (X),1.39,1.36,0.73,1.17,1.38,
Price To Sales (X),2.52,2.08,0.96,1.64,0.97,
Retention Ratios (%),100.00,100.00,100.00,100.00,100.00,
Earnings Yield (X),0.05,0.03,-0.64,-0.42,-0.37,
Balance Sheet of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",
Total Share Capital,"10,752.40","10,752.40","10,380.59","7,736.29","3,083.86",
Revaluation Reserve,"8,467.76","6,281.45","6,503.37","6,727.69","5,053.88",
Reserves and Surplus,"22,441.82","19,777.22","17,140.41","23,147.71","13,071.98",
Total Reserves and Surplus,"30,909.58","26,058.67","23,643.77","29,875.40","18,125.87",
Total ShareHolders Funds,"41,661.98","36,811.07","34,024.37","37,611.70","21,209.73",
Deposits,"233,134.42","230,898.41","222,424.13","227,371.72","247,931.61",
Borrowings,"14,344.98","15,908.05","36,748.86","45,287.72","63,185.53",
Other Liabilities and Provisions,"12,277.98","14,146.55","6,745.02","10,013.35","17,986.77",
Total Capital and Liabilities,"301,419.36","297,764.08","299,942.37","320,284.49","350,313.64",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"13,593.37","13,012.80","10,538.83","12,730.47","13,163.69",
Balances with Banks Money at Call and Short Notice,"13,117.22","22,209.39","19,891.57","8,503.23","20,522.40",
Investments,"82,988.21","81,022.56","81,780.42","93,072.63","91,606.06",
Advances,"145,771.84","128,149.94","129,841.79","146,790.44","171,739.95",
Fixed Assets,"9,936.91","7,827.42","8,129.18","8,230.99","6,770.98",
Other Assets,"36,011.82","45,541.97","49,760.58","50,956.74","46,510.56",
Total Assets,"301,419.36","297,764.08","299,942.37","320,284.49","350,313.64",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"1,886.00","1,884.00","1,892.00","1,892.00","1,916.00",
Number of Employees,"17,430.00","17,319.00","17,723.00","17,117.00","17,475.00",
Capital Adequacy Ratios (%),19.06,15.59,13.31,11.58,10.41,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),16.68,13.06,10.57,9.13,7.73,
Tier 2 (%),2.38,2.53,2.74,2.45,2.68,
ASSETS QUALITY,,,,,,
Gross NPA,"34,115.00","36,211.95","47,272.37","50,027.94","55,588.25",
Gross NPA (%),19.00,22.00,28.00,27.00,28.00,
Net NPA,"1,856.00","2,519.38","5,439.49","14,837.44","28,665.14",
Net NPA (%),1.27,1.97,4.19,10.11,16.69,
Net NPA To Advances (%),1.00,2.00,4.00,10.00,17.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"10,706.96","9,648.34","9,870.73","9,634.77","9,300.58",
Contingent Liabilities,"332,181.08","220,709.69","117,113.22","140,854.29",0.00,
