Profit & Loss account of Bank Of Baroda (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Other Expenses,"9,737.60","9,098.13","9,307.67","6,248.85","5,566.50",
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,"22,388.85","20,629.80","19,691.42","13,486.82","12,005.55",
Provisions And Contingencies,"13,002.41","15,073.80","21,493.53","12,788.67","14,796.29",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,"9,386.44","5,556.00","-1,802.11",698.15,"-2,790.74",
Tax,"2,114.16","4,727.05","-2,348.29",264.63,-358.93,
P/L After Tax from Ordinary Activities,"7,272.28",828.95,546.18,433.52,"-2,431.81",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,"7,272.28",828.95,546.18,433.52,"-2,431.81",
Equity Share Capital,"1,035.53","1,035.53",925.37,530.36,530.36,
Reserves Excluding Revaluation Reserves,"84,874.19","76,010.19","70,930.84","45,410.73","42,864.41",
Equity Dividend Rate (%),142.50,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,0.64,63.97,71.60,63.74,64.03,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,14.06,1.78,1.02,1.64,-10.53,
Diluted EPS,14.06,1.78,1.02,1.41,-10.53,
EPS After Extra Ordinary,,,,,,
Basic EPS.,14.06,1.78,1.02,1.64,-10.53,
Diluted EPS.,14.06,1.78,1.02,1.41,-10.53,
NPA Ratios :,,,,,,
i) Gross NPA,"54,059.39","66,670.99","69,381.43","48,232.77","56,480.39",
ii) Net NPA,"13,364.65","21,799.88","21,576.59","15,609.50","23,482.65",
i) % of Gross NPA,0.07,8.87,9.40,9.61,12.26,
ii) % of Net NPA,0.02,3.09,3.13,3.33,5.49,
Return on Assets %,0.01,0.07,0.06,0.06,-0.34,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
Key Financial Ratios of Bank Of Baroda (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Per Share Ratios,,,,,,
Basic EPS (Rs.),14.06,1.78,1.36,1.64,-10.53,
Diluted EPS (Rs.),14.06,1.78,1.36,1.41,-10.53,
Cash EPS (Rs.),16.73,4.14,4.77,5.07,-5.92,
Book Value [Excl. Reval Reserve]/Share (Rs.),165.92,148.80,155.30,173.24,163.64,
Book Value [Incl. Reval Reserve]/Share (Rs.),165.92,148.80,155.30,173.24,163.64,
Dividend/Share (Rs.),2.85,0.00,0.00,0.00,0.00,
Operating Revenue / Share (Rs.),134.97,136.15,164.22,187.68,164.60,
Net Profit/Share (Rs.),14.05,1.60,1.18,1.63,-9.17,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),"8,826,339.83","8,596,958.79","9,015,300.24","8,926,822.47","7,936,098.51",
Net Profit/ Employee (Rs.),"918,530.51","101,092.46","64,803.99","77,756.30","-442,147.67",
Business/ Employee (Rs.),"230,267,103.41","204,060,663.18","194,120,422.81","198,641,972.49","185,226,664.31",
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),"85,554,334.35","84,831,603.01","79,747,748.74","88,907,834.94","79,840,025.24",
Net Profit/ Branches (Rs.),"8,903,381.00","997,542.96","573,244.65","774,423.90","-4,448,165.72",
Business/ Branches (Rs.),"2,231,995,271.55","2,013,594,991.70","1,717,154,869.44","1,978,400,238.30","1,863,447,327.05",
Key Performance Ratios,,,,,,
ROCE (%),1.81,1.85,1.77,1.78,1.72,
CASA (%),41.45,40.15,35.28,35.03,35.81,
Net Profit Margin (%),10.40,1.17,0.71,0.87,-5.57,
Operating Profit Margin (%),-6.02,-16.36,-12.85,-11.77,-20.82,
Return on Assets (%),0.56,0.07,0.04,0.05,-0.33,
Return on Equity / Networth (%),8.46,1.07,0.76,0.94,-5.60,
Net Interest Margin (X),2.55,2.49,2.37,2.36,2.15,
Cost to Income (%),45.26,48.69,43.13,43.41,48.92,
Interest Income/Total Assets (%),5.46,6.10,6.56,6.37,6.06,
Non-Interest Income/Total Assets (%),0.89,1.07,0.89,0.80,0.92,
Operating Profit/Total Assets (%),-0.32,-0.99,-0.84,-0.75,-1.26,
Operating Expenses/Total Assets (%),1.69,1.77,1.56,1.44,1.41,
Interest Expenses/Total Assets (%),2.91,3.60,4.19,4.00,3.90,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),"1,152,436.22","1,033,396.23","1,031,184.78","713,384.75","668,896.06",
EV Per Net Sales (X),16.49,14.66,13.57,14.33,15.32,
Price To Book Value (X),0.67,0.50,0.34,0.74,0.87,
Price To Sales (X),0.83,0.54,0.33,0.69,0.86,
Retention Ratios (%),79.73,100.00,100.00,100.00,100.00,
Earnings Yield (X),0.13,0.02,0.02,0.01,-0.06,
Balance Sheet of Bank Of Baroda (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,"1,035.53","1,035.53",925.37,530.36,530.36,
Total Share Capital,"1,035.53","1,035.53",925.37,530.36,530.36,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,"84,874.19","76,010.19","70,930.84","45,410.73","42,864.41",
Total Reserves and Surplus,"84,874.19","76,010.19","70,930.84","45,410.73","42,864.41",
Total ShareHolders Funds,"85,909.72","77,045.72","71,856.22","45,941.10","43,394.77",
Deposits,"1,045,938.56","966,996.93","945,984.43","638,689.72","591,314.82",
Borrowings,"103,899.29","66,847.93","93,069.31","67,201.30","62,571.97",
Other Liabilities and Provisions,"42,252.27","44,474.19","47,005.56","24,113.29","22,718.21",
Total Capital and Liabilities,"1,277,999.83","1,155,364.77","1,157,915.52","780,987.40","719,999.77",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"55,184.41","38,841.04","32,645.85","26,661.73","22,699.64",
Balances with Banks Money at Call and Short Notice,"67,470.59","81,571.78","89,255.27","62,567.89","70,197.74",
Investments,"315,795.39","261,220.27","274,614.61","182,298.08","163,184.53",
Advances,"777,155.18","706,300.51","690,120.73","468,818.74","427,431.83",
Fixed Assets,"9,921.90","8,016.25","8,889.29","6,990.30","5,367.39",
Other Assets,"52,472.37","59,414.93","62,389.76","33,650.68","31,118.64",
Total Assets,"1,277,999.83","1,155,364.77","1,157,915.52","780,987.40","719,999.77",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"8,168.00","8,310.00","9,528.00","5,598.00","5,467.00",
Number of Employees,"79,173.00","82,000.00","84,283.00","55,754.00","55,000.00",
Capital Adequacy Ratios (%),15.84,14.99,13.30,13.42,12.13,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),13.34,12.67,10.71,11.55,10.46,
Tier 2 (%),2.50,2.32,2.59,1.87,1.67,
ASSETS QUALITY,,,,,,
Gross NPA,"64,059.39","66,671.00","69,381.43","48,232.76","56,480.00",
Gross NPA (%),7.00,9.00,9.00,10.00,12.00,
Net NPA,"13,364.64","21,800.00","21,576.60","15,609.50","23,483.00",
Net NPA (%),1.72,3.09,3.13,3.33,5.49,
Net NPA To Advances (%),2.00,3.00,3.00,3.00,5.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"64,741.92","65,233.83","52,009.74","49,059.93","45,779.69",
Contingent Liabilities,"399,234.43","395,655.76","320,747.63","380,312.98",0.00,
