Profit & Loss account of IndusInd Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Other Expenses,"7,070.95","6,146.32","6,028.86","4,551.17","3,810.75",
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,"12,838.60","11,726.67","10,772.71","8,088.22","6,656.11",
Provisions And Contingencies,"6,664.95","7,942.53","4,652.10","3,107.65","1,175.43",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,"6,173.65","3,784.14","6,120.61","4,980.57","5,480.68",
Tax,"1,562.53",947.75,"1,702.70","1,679.47","1,874.69",
P/L After Tax from Ordinary Activities,"4,611.12","2,836.39","4,417.91","3,301.10","3,605.99",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,"4,611.12","2,836.39","4,417.91","3,301.10","3,605.99",
Equity Share Capital,774.66,773.37,693.54,602.69,600.22,
Reserves Excluding Revaluation Reserves,"46,598.86","42,273.02","33,010.08","25,746.55","22,864.65",
Equity Dividend Rate (%),85.00,50.00,--,75.00,75.00,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,59.57,38.75,63.75,54.90,60.19,
Diluted EPS,59.47,38.68,63.52,54.46,59.57,
EPS After Extra Ordinary,,,,,,
Basic EPS.,59.57,38.75,63.75,54.90,60.19,
Diluted EPS.,59.47,38.68,63.52,54.46,59.57,
NPA Ratios :,,,,,,
i) Gross NPA,"5,517.15","5,794.99","5,146.74","3,947.41","1,704.91",
ii) Net NPA,"1,529.83","1,476.57","1,886.58","2,248.28",745.67,
i) % of Gross NPA,2.27,2.67,2.45,2.10,1.17,
ii) % of Net NPA,0.64,0.69,0.91,1.21,0.51,
Return on Assets %,1.28,1.03,1.54,1.39,1.90,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
Key Financial Ratios of IndusInd Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
Per Share Ratios,,,,,,
Basic EPS (Rs.),59.57,38.75,63.75,54.90,60.19,
Diluted EPS (Rs.),59.47,38.68,63.52,54.46,59.57,
Cash EPS (Rs.),63.67,40.62,67.71,58.57,63.60,
Book Value [Excl. Reval Reserve]/Share (Rs.),611.74,556.68,495.82,437.38,391.18,
Book Value [Incl. Reval Reserve]/Share (Rs.),615.72,560.73,500.43,442.78,397.21,
Dividend/Share (Rs.),8.50,5.00,0.00,7.50,7.50,
Operating Revenue / Share (Rs.),397.88,374.98,415.02,369.37,287.91,
Net Profit/Share (Rs.),59.52,36.68,63.70,54.77,60.08,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),"9,178,262.85","9,777,079.90","9,383,461.53","8,025,217.38","6,834,657.77",
Net Profit/ Employee (Rs.),"1,373,093.71","956,269.85","1,440,279.32","1,190,056.56","1,426,193.44",
Business/ Employee (Rs.),"158,636,437.20","158,052,784.90","133,279,969.94","137,445,981.58","117,304,553.04",
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),"136,081,422.96","143,919,586.60","150,616,587.65","133,700,603.60","123,433,919.29",
Net Profit/ Branches (Rs.),"20,358,160.26","14,076,387.10","23,118,329.67","19,826,413.81","25,757,053.57",
Business/ Branches (Rs.),"2,352,021,560.26","2,326,552,681.39","2,139,314,389.32","2,289,858,308.11","2,118,520,227.86",
Key Performance Ratios,,,,,,
ROCE (%),3.30,3.34,3.62,3.00,3.11,
CASA (%),42.78,41.81,40.37,43.14,44.00,
Net Profit Margin (%),14.96,9.78,15.34,14.82,20.86,
Operating Profit Margin (%),-9.03,-12.83,-8.80,-10.53,-6.62,
Return on Assets (%),1.14,0.78,1.43,1.18,1.62,
Return on Equity / Networth (%),9.73,6.58,12.84,12.52,15.35,
Net Interest Margin (X),3.73,3.72,3.92,3.18,3.38,
Cost to Income (%),46.53,48.51,40.83,40.10,39.22,
Interest Income/Total Assets (%),7.66,7.98,9.37,8.01,7.79,
Non-Interest Income/Total Assets (%),1.84,1.80,2.26,2.03,2.14,
Operating Profit/Total Assets (%),-0.69,-1.02,-0.82,-0.84,-0.51,
Operating Expenses/Total Assets (%),2.37,2.30,2.68,2.30,2.52,
Interest Expenses/Total Assets (%),3.93,4.26,5.44,4.82,4.41,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),"397,802.16","363,436.81","273,471.61","339,632.69","286,741.92",
EV Per Net Sales (X),12.91,12.53,9.50,15.26,16.59,
Price To Book Value (X),1.53,1.71,0.71,4.07,4.59,
Price To Sales (X),2.35,2.54,0.85,4.82,6.24,
Retention Ratios (%),91.60,100.00,100.00,86.30,88.01,
Earnings Yield (X),0.06,0.04,0.18,0.03,0.03,
Balance Sheet of IndusInd Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,774.66,773.37,693.54,602.69,600.22,
Total Share Capital,774.66,773.37,693.54,602.69,600.22,
Revaluation Reserve,307.63,313.61,319.58,325.55,362.20,
Reserves and Surplus,"46,598.86","42,273.02","33,010.08","25,746.55","22,864.65",
Total Reserves and Surplus,"46,906.49","42,586.63","33,329.66","26,072.10","23,226.85",
Total ShareHolders Funds,"47,697.23","43,365.41","34,706.49","26,685.97","23,841.64",
Deposits,"293,681.35","256,204.96","202,039.81","194,867.91","151,639.17",
Borrowings,"47,323.22","51,322.81","60,753.55","47,321.12","38,289.08",
Other Liabilities and Provisions,"13,272.79","12,079.57","9,557.70","8,944.42","7,856.27",
Total Capital and Liabilities,"401,974.58","362,972.75","307,057.55","277,819.42","221,626.16",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"15,641.16","17,870.68","13,675.25","9,961.17","10,962.41",
Balances with Banks Money at Call and Short Notice,"52,633.33","38,456.51","2,328.40","4,822.23","2,253.47",
Investments,"70,970.78","69,694.71","59,979.94","59,266.16","50,076.72",
Advances,"239,051.53","212,595.41","206,783.17","186,393.50","144,953.66",
Fixed Assets,"1,848.69","1,809.37","1,820.11","1,710.01","1,338.75",
Other Assets,"21,829.09","22,546.07","22,470.68","15,666.35","12,041.16",
Total Assets,"401,974.58","362,972.75","307,057.55","277,819.42","221,626.16",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"2,265.00","2,015.00","1,911.00","1,665.00","1,400.00",
Number of Employees,"33,582.00","29,661.00","30,674.00","27,739.00","25,284.00",
Capital Adequacy Ratios (%),18.42,17.38,15.04,14.16,15.03,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),15.96,16.83,14.57,13.70,14.58,
Tier 2 (%),1.62,0.55,0.47,0.46,0.45,
ASSETS QUALITY,,,,,,
Gross NPA,"5,517.15","5,794.99","5,146.74","3,947.41","1,704.91",
Gross NPA (%),2.00,3.00,2.00,2.00,1.00,
Net NPA,"1,529.83","1,476.57","1,886.58","2,248.28",745.67,
Net NPA (%),0.64,0.69,0.91,1.21,0.51,
Net NPA To Advances (%),1.00,1.00,1.00,1.00,1.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"29,654.25","23,601.73","22,573.29","32,971.51","37,415.48",
Contingent Liabilities,"923,779.75","850,068.41","967,595.58","952,668.45","662,099.16",
